mean,label
110.526,1
128.762,0
111.329,1
116.483,1
113.9,1
127.761,0
106.771,1
121.899,1
115.49,1
109.091,1
120.685,1
117.622,1
120.948,1
108.799,1
126.257,0
126.679,0
109.935,1
116.335,1
109.512,1
127.201,0
114.42,1
129.945,0
128.704,0
123.162,0
127.24,0
126.984,0
129.438,0
121.161,1
128.309,0
112.622,1
93.019,1
119.647,1
126.73,0
127.633,0
120.711,1
122.247,0
125.435,0
124.431,0
116.082,1
109.382,1
111.429,1
127.491,0
124.887,0
123.569,0
122.317,0
121.242,1
118.215,1
119.697,1
112.763,1
126.797,0
114.859,1
123.938,0
127.75,0
93.773,1
113.185,1
118.097,1
125.902,0
121.414,1
129.877,0
118.69,1
117.566,1
124.544,0
121.141,1
126.133,0
94.177,1
128.235,0
108.671,1
114.329,1
116.6,1
106.99,1
126.304,0
113.616,1
117.396,1
114.406,1
124.827,0
116.39,1
127.272,0
126.088,0
127.056,0
115.972,1
126.004,0
127.568,0
115.75,1
110.389,1
123.765,0
109.395,1
119.194,1
125.427,0
114.969,1
122.906,0
121.824,1
116.558,1
112.333,1
121.443,1
119.358,1
131.129,0
113.183,1
113.177,1
126.068,0
121.287,1
126.275,0
125.978,0
122.925,0
115.304,1
115.276,1
113.289,1
106.567,1
127.203,0
126.812,0
129.341,0
127.369,0
124.977,0
128.625,0
112.616,1
122.049,0
127.753,0
121.712,1
116.379,1
125.933,0
121.645,1
113.503,1
118.639,1
118.653,1
122.429,0
130.635,0
126.944,0
120.677,1
127.156,0
126.21,0
125.538,0
112.029,1
105.083,1
122.327,0
116.1,1
109.742,1
119.256,1
118.854,1
119.606,1
115.843,1
128.747,0
125.099,0
115.761,1
119.353,1
126.563,0
123.395,0
120.056,1
124.613,0
117.859,1
126.353,0
127.241,0
115.185,1
128.073,0
110.052,1
116.384,1
114.351,1
128.759,0
124.023,0
127.071,0
120.172,1
115.658,1
123.617,0
124.533,0
114.867,1
122.951,0
121.668,1
116.407,1
121.127,1
111.922,1
112.156,1
115.558,1
119.301,1
128.601,0
125.167,0
116.542,1
124.184,0
124.128,0
123.87,0
116.714,1
112.875,1
126.216,0
129.41,0
113.33,1
123.486,0
126.879,0
129.775,0
126.181,0
122.766,0
123.254,0
132.249,0
116.548,1
122.095,0
114.96,1
124.949,0
114.963,1
115.001,1
128.613,0
126.575,0
128.959,0
121.519,1
116.26,1
125.512,0
126.093,0
113.004,1
107.285,1
122.818,0
88.965,1
127.35,0
122.172,0
128.348,0
118.655,1
118.6,1
101.293,1
124.822,0
123.029,0
119.437,1
129.24,0
126.893,0
131.052,0
127.64,0
127.275,0
120.959,1
115.188,1
131.429,0
91.346,1
109.122,1
123.901,0
127.599,0
112.004,1
124.053,0
111.941,1
119.912,1
117.954,1
120.982,1
122.345,0
120.862,1
115.606,1
126.511,0
110.806,1
125.172,0
111.475,1
120.934,1
123.562,0
126.978,0
126.288,0
125.4,0
129.511,0
116.075,1
113.536,1
126.524,0
127.791,0
115.145,1
118.107,1
126.352,0
116.048,1
116.586,1
112.934,1
129.823,0
120.198,1
124.937,0
131.017,0
124.72,0
104.287,1
120.022,1
121.04,1
123.586,0
127.143,0
120.03,1
123.503,0
127.612,0
118.168,1
113.792,1
112.1,1
120.573,1
121.912,0
121.392,1
109.126,1
126.174,0
126.385,0
127.316,0
128.983,0
115.188,1
115.894,1
111.706,1
101.9,1
119.392,1
124.758,0
123.445,0
129.685,0
128.716,0
81.661,1
121.748,1
129.307,0
114.087,1
111.849,1
124.063,0
127.258,0
119.466,1
113.495,1
128.258,0
123.377,0
130.815,0
122.739,0
127.193,0
93.768,1
111.276,1
111.708,1
119.524,1
127.004,0
112.425,1
115.776,1
114.794,1
127.855,0
125.77,0
126.708,0
128.51,0
127.433,0
126.217,0
114.172,1
125.841,0
123.043,0
124.581,0
131.979,0
124.774,0
126.526,0
119.664,1
124.741,0
114.324,1
130.197,0
121.427,1
124.823,0
121.249,1
120.751,1
133.013,0
115.532,1
119.57,1
120.784,1
126.047,0
121.686,1
119.769,1
114.678,1
126.366,0
128.78,0
127.226,0
125.012,0
116.562,1
124.277,0
121.121,1
126.013,0
126.311,0
113.209,1
120.016,1
110.333,1
132.518,0
124.826,0
127.633,0
121.988,0
127.975,0
125.005,0
127.525,0
128.777,0
115.836,1
126.287,0
125.092,0
113.975,1
129.269,0
121.921,0
106.063,1
126.198,0
115.291,1
119.958,1
113.522,1
117.136,1
123.618,0
123.695,0
105.409,1
117.317,1
125.863,0
112.76,1
118.239,1
105.82,1
125.095,0
131.036,0
124.685,0
127.027,0
120.857,1
115.906,1
117.944,1
131.644,0
120.687,1
123.165,0
110.745,1
115.164,1
112.028,1
109.138,1
102.288,1
115.518,1
114.672,1
130.001,0
124.754,0
112.598,1
117.294,1
110.033,1
117.453,1
126.404,0
108.908,1
115.066,1
101.761,1
111.793,1
128.431,0
122.305,0
117.268,1
116.021,1
113.832,1
120.939,1
119.536,1
118.707,1
109.151,1
124.264,0
125.356,0
117.279,1
118.631,1
127.523,0
127.942,0
114.521,1
125.662,0
